localizacao;DataHora;CF;CC;link;Dia;Hora;Valor
Abila Airport;08/01/2014 12:45;L2769;C8642;both;8 - Quarta-feira;12;2723
Chostus Hotel;08/01/2014 12:56;L5947;C2540;both;8 - Quarta-feira;12;108
Carlyle Chemical Inc.;08/01/2014 13:03;L8477;C4530;both;8 - Quarta-feira;13;4984
Abila Zacharo;08/01/2014 13:10;L4034;C5407;both;8 - Quarta-feira;13;22
Hippokampos;08/01/2014 13:12;L2070;C8332;both;8 - Quarta-feira;13;27
Hippokampos;08/01/2014 13:15;L8566;C4795;both;8 - Quarta-feira;13;9
Katerina’s Café;08/01/2014 13:19;L5756;C7792;both;8 - Quarta-feira;13;29
Chostus Hotel;08/01/2014 13:19;L7291;C9683;both;8 - Quarta-feira;13;112
Ouzeri Elian;08/01/2014 13:21;L5224;C8156;credit;8 - Quarta-feira;13;110
Abila Zacharo;08/01/2014 13:23;L6886;C2463;both;8 - Quarta-feira;13;37
Hippokampos;08/01/2014 13:26;L1682;C7253;both;8 - Quarta-feira;13;17
Gelatogalore;08/01/2014 13:27;L6110;C8411;both;8 - Quarta-feira;13;33
Katerina’s Café;08/01/2014 13:28;L6267;C6899;both;8 - Quarta-feira;13;9
Gelatogalore;08/01/2014 13:28;L3259;C9405;both;8 - Quarta-feira;13;21
Kalami Kafenion;08/01/2014 13:29;L3295;C5921;both;8 - Quarta-feira;13;24
Hippokampos;08/01/2014 13:31;L4149;C1321;both;8 - Quarta-feira;13;38
Guy's Gyros;08/01/2014 13:32;L3800;C7384;both;8 - Quarta-feira;13;30
Abila Zacharo;08/01/2014 13:34;L7783;C1415;both;8 - Quarta-feira;13;14
Katerina’s Café;08/01/2014 13:34;L8012;C1310;credit;8 - Quarta-feira;13;89
Gelatogalore;08/01/2014 13:38;L3288;C1286;both;8 - Quarta-feira;13;50
Gelatogalore;08/01/2014 13:39;L2490;C3484;credit;8 - Quarta-feira;13;120
Guy's Gyros;08/01/2014 13:40;L1485;C3853;credit;8 - Quarta-feira;13;78
Katerina’s Café;08/01/2014 13:41;L9637;C2142;both;8 - Quarta-feira;13;26
Gelatogalore;08/01/2014 13:42;L6119;C7889;both;8 - Quarta-feira;13;35
Kalami Kafenion;08/01/2014 13:42;L2343;C8202;both;8 - Quarta-feira;13;22
Katerina’s Café;08/01/2014 13:42;L3366;C6895;credit;8 - Quarta-feira;13;57
Hippokampos;08/01/2014 13:43;L5777;C9551;both;8 - Quarta-feira;13;40
Kalami Kafenion;08/01/2014 13:44;L9254;C7354;both;8 - Quarta-feira;13;32
Kalami Kafenion;08/01/2014 13:45;L7814;C3492;both;8 - Quarta-feira;13;24
Abila Zacharo;08/01/2014 13:46;L1107;C2681;both;8 - Quarta-feira;13;28
Katerina’s Café;08/01/2014 13:47;L3014;C1877;credit;8 - Quarta-feira;13;27
Gelatogalore;08/01/2014 13:47;L9018;C2418;both;8 - Quarta-feira;13;22
Ouzeri Elian;08/01/2014 13:47;L2247;C5368;credit;8 - Quarta-feira;13;105
Hippokampos;08/01/2014 13:48;L3191;C9635;both;8 - Quarta-feira;13;29
Gelatogalore;08/01/2014 13:48;L5259;C7819;credit;8 - Quarta-feira;13;117
Guy's Gyros;08/01/2014 13:51;L4424;C1874;both;8 - Quarta-feira;13;16
Abila Zacharo;08/01/2014 13:51;L9363;C6901;both;8 - Quarta-feira;13;31
Kalami Kafenion;08/01/2014 13:52;L8148;C6816;both;8 - Quarta-feira;13;15
Abila Zacharo;08/01/2014 13:53;L5553;C9617;both;8 - Quarta-feira;13;16
Guy's Gyros;08/01/2014 13:57;L2169;C4434;both;8 - Quarta-feira;13;10
Katerina’s Café;08/01/2014 14:06;L6544;C7108;credit;8 - Quarta-feira;14;23
Kronos Pipe and Irrigation;08/01/2014 14:09;L8477;C4530;both;8 - Quarta-feira;14;3616
Kalami Kafenion;08/01/2014 14:15;L6417;C7117;both;8 - Quarta-feira;14;35
Gelatogalore;08/01/2014 14:17;L9406;C4948;both;8 - Quarta-feira;14;40
Kalami Kafenion;08/01/2014 14:19;L8328;C8129;both;8 - Quarta-feira;14;31
Carlyle Chemical Inc.;08/01/2014 14:26;L5756;C7792;both;8 - Quarta-feira;14;4902
Maximum Iron and Steel;08/01/2014 15:18;L8477;C4530;both;8 - Quarta-feira;15;3136
Abila Airport;08/01/2014 15:29;L2769;C8642;both;8 - Quarta-feira;15;2769
Hippokampos;08/01/2014 19:21;L7783;C1415;both;8 - Quarta-feira;19;11
Hippokampos;08/01/2014 19:28;L5947;C2540;both;8 - Quarta-feira;19;17
Katerina’s Café;08/01/2014 19:32;L4034;C5407;both;8 - Quarta-feira;19;34
Guy's Gyros;08/01/2014 19:36;L9254;C7354;both;8 - Quarta-feira;19;16
Guy's Gyros;08/01/2014 19:48;L2169;C4434;both;8 - Quarta-feira;19;30
Katerina’s Café;08/01/2014 20:00;L6110;C8411;both;8 - Quarta-feira;20;14
Hippokampos;08/01/2014 20:02;L3366;C6895;both;8 - Quarta-feira;20;33
Guy's Gyros;08/01/2014 20:07;L3800;C7384;both;8 - Quarta-feira;20;29
Frydos Autosupply n' More;08/01/2014 20:07;L9018;C2418;both;8 - Quarta-feira;20;214
Guy's Gyros;08/01/2014 20:08;L2247;C5368;credit;8 - Quarta-feira;20;33
Katerina’s Café;08/01/2014 20:08;L8012;C1310;both;8 - Quarta-feira;20;32
Ouzeri Elian;08/01/2014 20:12;L3288;C1286;both;8 - Quarta-feira;20;62
Guy's Gyros;08/01/2014 20:15;L2490;C3484;credit;8 - Quarta-feira;20;99
Frydos Autosupply n' More;08/01/2014 20:17;L1485;C3853;both;8 - Quarta-feira;20;183
Guy's Gyros;08/01/2014 20:17;L7291;C9683;both;8 - Quarta-feira;20;18
Katerina’s Café;08/01/2014 20:27;L9637;C2142;both;8 - Quarta-feira;20;33
Hippokampos;08/01/2014 20:28;L6417;C7117;credit;8 - Quarta-feira;20;97
Frydos Autosupply n' More;08/01/2014 20:28;L6267;C6899;both;8 - Quarta-feira;20;269
Katerina’s Café;08/01/2014 20:31;L6119;C7889;both;8 - Quarta-feira;20;37
Katerina’s Café;08/01/2014 20:35;L2343;C8202;both;8 - Quarta-feira;20;17
Katerina’s Café;08/01/2014 20:42;L3295;C5921;credit;8 - Quarta-feira;20;93
Albert's Fine Clothing;08/01/2014 20:45;L3191;C9635;both;8 - Quarta-feira;20;136
Hippokampos;08/01/2014 20:49;L2070;C8332;both;8 - Quarta-feira;20;16
Hippokampos;08/01/2014 20:53;L4164;C7688;both;8 - Quarta-feira;20;26
Guy's Gyros;08/01/2014 20:57;L9363;C6901;credit;8 - Quarta-feira;20;10
Guy's Gyros;08/01/2014 20:58;L5259;C7819;credit;8 - Quarta-feira;20;23
General Grocer;08/01/2014 21:00;L6544;C7108;both;8 - Quarta-feira;21;266
Katerina’s Café;08/01/2014 21:02;L9406;C4948;credit;8 - Quarta-feira;21;29
Katerina’s Café;08/01/2014 21:09;L4424;C1874;both;8 - Quarta-feira;21;28
Ouzeri Elian;08/01/2014 21:16;L5777;C9551;credit;8 - Quarta-feira;21;31
Ouzeri Elian;08/01/2014 21:17;L6267;C6899;both;8 - Quarta-feira;21;30
Hippokampos;08/01/2014 21:32;L6886;C2463;credit;8 - Quarta-feira;21;79
Coffee Cameleon;09/01/2014 07:35;L1682;C7253;credit;9 - Quinta-feira;7;12
Brew've Been Served;09/01/2014 07:36;L7291;C9683;credit;9 - Quinta-feira;7;71
Hallowed Grounds;09/01/2014 07:37;L8012;C1310;both;9 - Quinta-feira;7;18
Coffee Cameleon;09/01/2014 07:37;L3295;C5921;both;9 - Quinta-feira;7;20
Hallowed Grounds;09/01/2014 07:42;L6544;C7108;credit;9 - Quinta-feira;7;57
Brew've Been Served;09/01/2014 07:43;L2247;C5368;credit;9 - Quinta-feira;7;5
Hallowed Grounds;09/01/2014 07:46;L8328;C8129;credit;9 - Quinta-feira;7;75
Brew've Been Served;09/01/2014 07:46;L9406;C4948;credit;9 - Quinta-feira;7;4
Brew've Been Served;09/01/2014 07:48;L3800;C7384;both;9 - Quinta-feira;7;5
Brew've Been Served;09/01/2014 07:48;L9254;C7354;credit;9 - Quinta-feira;7;35
Brew've Been Served;09/01/2014 07:48;L8566;C4795;both;9 - Quinta-feira;7;5
Hallowed Grounds;09/01/2014 07:50;L5777;C9551;credit;9 - Quinta-feira;7;34
Hallowed Grounds;09/01/2014 07:51;L6119;C7889;credit;9 - Quinta-feira;7;19
Brew've Been Served;09/01/2014 07:56;L2343;C8202;credit;9 - Quinta-feira;7;98
Hallowed Grounds;09/01/2014 07:57;L5553;C9617;both;9 - Quinta-feira;7;18
Brew've Been Served;09/01/2014 07:57;L6110;C8411;credit;9 - Quinta-feira;7;5
Hallowed Grounds;09/01/2014 07:57;L3259;C9405;credit;9 - Quinta-feira;7;50
Brew've Been Served;09/01/2014 07:58;L9363;C6901;both;9 - Quinta-feira;7;19
Brew've Been Served;09/01/2014 08:00;L5259;C7819;credit;9 - Quinta-feira;8;7
Brew've Been Served;09/01/2014 08:00;L2169;C4434;both;9 - Quinta-feira;8;6
Brew've Been Served;09/01/2014 08:01;L2490;C3484;credit;9 - Quinta-feira;8;92
Coffee Cameleon;09/01/2014 08:03;L9637;C2142;both;9 - Quinta-feira;8;16
Hallowed Grounds;09/01/2014 08:07;L7814;C3492;credit;9 - Quinta-feira;8;66
Brew've Been Served;09/01/2014 08:14;L3288;C1286;both;9 - Quinta-feira;8;18
Brew've Been Served;09/01/2014 08:15;L4034;C5407;credit;9 - Quinta-feira;8;6
Hallowed Grounds;09/01/2014 08:15;L1107;C2681;both;9 - Quinta-feira;8;15
Abila Airport;09/01/2014 09:26;L7761;C3506;both;9 - Quinta-feira;9;2358
Carlyle Chemical Inc.;09/01/2014 09:54;L5756;C7792;both;9 - Quinta-feira;9;529
Nationwide Refinery;09/01/2014 10:16;L9633;C9735;both;9 - Quinta-feira;10;674
Stewart and Sons Fabrication;09/01/2014 10:38;L7761;C3506;both;9 - Quinta-feira;10;1016
Carlyle Chemical Inc.;09/01/2014 11:21;L8477;C4530;both;9 - Quinta-feira;11;733
Nationwide Refinery;09/01/2014 11:34;L5756;C7792;both;9 - Quinta-feira;11;289
Stewart and Sons Fabrication;09/01/2014 11:37;L9633;C9735;both;9 - Quinta-feira;11;3544
Coffee Shack;09/01/2014 12:00;L6417;C7117;both;9 - Quinta-feira;12;5
Bean There Done That;09/01/2014 12:00;L7783;C1415;both;9 - Quinta-feira;12;13
Brewed Awakenings;09/01/2014 12:00;L4164;C7688;credit;9 - Quinta-feira;12;12
Jack's Magical Beans;09/01/2014 12:00;L6267;C6899;both;9 - Quinta-feira;12;10
Jack's Magical Beans;09/01/2014 12:00;L1485;C3853;both;9 - Quinta-feira;12;6
Brewed Awakenings;09/01/2014 12:00;L5947;C2540;both;9 - Quinta-feira;12;13
Bean There Done That;09/01/2014 12:00;L3014;C1877;both;9 - Quinta-feira;12;4
Brewed Awakenings;09/01/2014 12:00;L2070;C8332;both;9 - Quinta-feira;12;18
Bean There Done That;09/01/2014 12:00;L4149;C1321;credit;9 - Quinta-feira;12;16
Jack's Magical Beans;09/01/2014 12:00;L3288;C1286;credit;9 - Quinta-feira;12;12
Jack's Magical Beans;09/01/2014 12:00;L5224;C8156;credit;9 - Quinta-feira;12;16
Jack's Magical Beans;09/01/2014 12:00;L6886;C2463;credit;9 - Quinta-feira;12;37
Abila Airport;09/01/2014 12:13;L2769;C8642;credit;9 - Quinta-feira;12;203
Nationwide Refinery;09/01/2014 12:49;L7761;C3506;credit;9 - Quinta-feira;12;1440
Ouzeri Elian;09/01/2014 12:59;L2070;C8332;credit;9 - Quinta-feira;12;31
Katerina’s Café;09/01/2014 13:03;L1682;C7253;both;9 - Quinta-feira;13;17
Gelatogalore;09/01/2014 13:12;L4034;C5407;both;9 - Quinta-feira;13;19
Abila Airport;09/01/2014 13:18;L3317;C2276;both;9 - Quinta-feira;13;4793
Ouzeri Elian;09/01/2014 13:21;L4164;C7688;both;9 - Quinta-feira;13;26
Gelatogalore;09/01/2014 13:21;L8566;C4795;both;9 - Quinta-feira;13;23
Guy's Gyros;09/01/2014 13:21;L9254;C7354;credit;9 - Quinta-feira;13;105
Gelatogalore;09/01/2014 13:23;L6267;C6899;both;9 - Quinta-feira;13;9
Gelatogalore;09/01/2014 13:23;L5947;C2540;credit;9 - Quinta-feira;13;57
Ouzeri Elian;09/01/2014 13:23;L8148;C6816;both;9 - Quinta-feira;13;22
Katerina’s Café;09/01/2014 13:23;L5756;C7792;both;9 - Quinta-feira;13;17
Abila Zacharo;09/01/2014 13:24;L2490;C3484;both;9 - Quinta-feira;13;8
Kalami Kafenion;09/01/2014 13:27;L3366;C6895;credit;9 - Quinta-feira;13;111
Katerina’s Café;09/01/2014 13:27;L5224;C8156;both;9 - Quinta-feira;13;26
Guy's Gyros;09/01/2014 13:28;L6119;C7889;both;9 - Quinta-feira;13;14
Hippokampos;09/01/2014 13:29;L9018;C2418;both;9 - Quinta-feira;13;27
Abila Zacharo;09/01/2014 13:32;L6886;C2463;both;9 - Quinta-feira;13;9
Katerina’s Café;09/01/2014 13:35;L1485;C3853;both;9 - Quinta-feira;13;10
Gelatogalore;09/01/2014 13:35;L6110;C8411;both;9 - Quinta-feira;13;23
Hippokampos;09/01/2014 13:36;L7291;C9683;both;9 - Quinta-feira;13;28
Hippokampos;09/01/2014 13:37;L4149;C1321;both;9 - Quinta-feira;13;9
Kalami Kafenion;09/01/2014 13:38;L3800;C7384;both;9 - Quinta-feira;13;18
Abila Zacharo;09/01/2014 13:40;L4424;C1874;both;9 - Quinta-feira;13;21
Gelatogalore;09/01/2014 13:40;L3259;C9405;both;9 - Quinta-feira;13;12
Abila Zacharo;09/01/2014 13:41;L5777;C9551;credit;9 - Quinta-feira;13;89
Hippokampos;09/01/2014 13:41;L3191;C9635;both;9 - Quinta-feira;13;8
Hippokampos;09/01/2014 13:41;L2247;C5368;credit;9 - Quinta-feira;13;39
Guy's Gyros;09/01/2014 13:43;L7783;C1415;credit;9 - Quinta-feira;13;75
Guy's Gyros;09/01/2014 13:44;L5553;C9617;both;9 - Quinta-feira;13;15
Gelatogalore;09/01/2014 13:45;L1107;C2681;both;9 - Quinta-feira;13;25
Abila Zacharo;09/01/2014 13:47;L3288;C1286;both;9 - Quinta-feira;13;48
Hippokampos;09/01/2014 13:51;L8012;C1310;both;9 - Quinta-feira;13;14
Hippokampos;09/01/2014 13:53;L9637;C2142;credit;9 - Quinta-feira;13;17
Kalami Kafenion;09/01/2014 13:56;L9406;C4948;both;9 - Quinta-feira;13;20
Hippokampos;09/01/2014 13:56;L2169;C4434;credit;9 - Quinta-feira;13;66
Guy's Gyros;09/01/2014 13:56;L9363;C6901;credit;9 - Quinta-feira;13;9
Kalami Kafenion;09/01/2014 14:03;L6267;C6899;both;9 - Quinta-feira;14;36
Kalami Kafenion;09/01/2014 14:04;L8328;C8129;both;9 - Quinta-feira;14;11
Ouzeri Elian;09/01/2014 14:04;L6544;C7108;both;9 - Quinta-feira;14;33
Katerina’s Café;09/01/2014 14:06;L3014;C1877;both;9 - Quinta-feira;14;8
Guy's Gyros;09/01/2014 14:09;L2343;C8202;both;9 - Quinta-feira;14;28
Abila Scrapyard;09/01/2014 14:12;L3317;C2276;both;9 - Quinta-feira;14;1158
Guy's Gyros;09/01/2014 14:13;L3295;C5921;both;9 - Quinta-feira;14;17
Abila Zacharo;09/01/2014 14:15;L5259;C7819;both;9 - Quinta-feira;14;14
Gelatogalore;09/01/2014 14:18;L6417;C7117;both;9 - Quinta-feira;14;37
Carlyle Chemical Inc.;09/01/2014 14:26;L5756;C7792;both;9 - Quinta-feira;14;382
Kronos Pipe and Irrigation;09/01/2014 14:28;L8477;C4530;both;9 - Quinta-feira;14;423
Stewart and Sons Fabrication;09/01/2014 15:00;L3317;C2276;both;9 - Quinta-feira;15;919
Maximum Iron and Steel;09/01/2014 15:16;L8477;C4530;both;9 - Quinta-feira;15;1527
Abila Airport;09/01/2014 15:50;L2769;C8642;both;9 - Quinta-feira;15;4539
Carlyle Chemical Inc.;09/01/2014 16:22;L5756;C7792;both;9 - Quinta-feira;16;2176
Nationwide Refinery;09/01/2014 16:27;L3317;C2276;both;9 - Quinta-feira;16;1323
Katerina’s Café;09/01/2014 19:25;L8328;C8129;both;9 - Quinta-feira;19;36
Katerina’s Café;09/01/2014 19:30;L3295;C5921;both;9 - Quinta-feira;19;27
Frydos Autosupply n' More;09/01/2014 19:32;L2490;C3484;both;9 - Quinta-feira;19;138
Guy's Gyros;09/01/2014 19:41;L9254;C7354;both;9 - Quinta-feira;19;32
Ouzeri Elian;09/01/2014 19:42;L6267;C6899;credit;9 - Quinta-feira;19;27
Ouzeri Elian;09/01/2014 19:43;L3288;C1286;credit;9 - Quinta-feira;19;31
Guy's Gyros;09/01/2014 19:52;L8148;C6816;both;9 - Quinta-feira;19;30
Hippokampos;09/01/2014 20:05;L5947;C2540;both;9 - Quinta-feira;20;15
Katerina’s Café;09/01/2014 20:06;L9406;C4948;both;9 - Quinta-feira;20;27
Katerina’s Café;09/01/2014 20:08;L7814;C3492;both;9 - Quinta-feira;20;19
Katerina’s Café;09/01/2014 20:09;L6267;C6899;credit;9 - Quinta-feira;20;91
Hippokampos;09/01/2014 20:15;L3014;C1877;credit;9 - Quinta-feira;20;71
General Grocer;09/01/2014 20:19;L8566;C4795;both;9 - Quinta-feira;20;285
Katerina’s Café;09/01/2014 20:20;L3259;C9405;credit;9 - Quinta-feira;20;91
Frydos Autosupply n' More;09/01/2014 20:20;L9363;C6901;credit;9 - Quinta-feira;20;31
Albert's Fine Clothing;09/01/2014 20:21;L6417;C7117;both;9 - Quinta-feira;20;225
Frydos Autosupply n' More;09/01/2014 20:21;L4149;C1321;credit;9 - Quinta-feira;20;121
Katerina’s Café;09/01/2014 20:22;L2343;C8202;both;9 - Quinta-feira;20;30
Guy's Gyros;09/01/2014 20:23;L6119;C7889;both;9 - Quinta-feira;20;8
Guy's Gyros;09/01/2014 20:24;L3288;C1286;both;9 - Quinta-feira;20;18
Katerina’s Café;09/01/2014 20:27;L4034;C5407;credit;9 - Quinta-feira;20;54
Guy's Gyros;09/01/2014 20:29;L1682;C7253;credit;9 - Quinta-feira;20;23
Katerina’s Café;09/01/2014 20:38;L9018;C2418;credit;9 - Quinta-feira;20;31
Guy's Gyros;09/01/2014 20:38;L2247;C5368;both;9 - Quinta-feira;20;8
Guy's Gyros;09/01/2014 20:39;L3800;C7384;both;9 - Quinta-feira;20;35
Hippokampos;09/01/2014 20:41;L6886;C2463;both;9 - Quinta-feira;20;9
Frydos Autosupply n' More;09/01/2014 20:45;L1485;C3853;both;9 - Quinta-feira;20;277
Hippokampos;09/01/2014 21:01;L3366;C6895;both;9 - Quinta-feira;21;25
Guy's Gyros;09/01/2014 21:09;L2169;C4434;both;9 - Quinta-feira;21;31
Hippokampos;09/01/2014 21:12;L5224;C8156;both;9 - Quinta-feira;21;24
Shoppers' Delight;09/01/2014 21:13;L1107;C2681;both;9 - Quinta-feira;21;258
Katerina’s Café;09/01/2014 21:18;L8012;C1310;both;9 - Quinta-feira;21;9
Albert's Fine Clothing;09/01/2014 21:27;L2070;C8332;both;9 - Quinta-feira;21;230
Hippokampos;09/01/2014 21:38;L3191;C9635;both;9 - Quinta-feira;21;10
Hallowed Grounds;10/01/2014 07:34;L8328;C8129;both;10 - Sexta-feira;7;17
Brew've Been Served;10/01/2014 07:35;L8148;C6816;both;10 - Sexta-feira;7;16
Coffee Cameleon;10/01/2014 07:40;L1682;C7253;both;10 - Sexta-feira;7;9
Hallowed Grounds;10/01/2014 07:41;L4424;C1874;both;10 - Sexta-feira;7;12
Hallowed Grounds;10/01/2014 07:41;L5553;C9617;both;10 - Sexta-feira;7;8
Hallowed Grounds;10/01/2014 07:41;L8012;C1310;both;10 - Sexta-feira;7;11
Brew've Been Served;10/01/2014 07:45;L2490;C3484;both;10 - Sexta-feira;7;5
Hallowed Grounds;10/01/2014 07:45;L7814;C3492;credit;10 - Sexta-feira;7;11
Hallowed Grounds;10/01/2014 07:46;L1107;C2681;both;10 - Sexta-feira;7;18
Brew've Been Served;10/01/2014 07:47;L9406;C4948;credit;10 - Sexta-feira;7;45
Coffee Cameleon;10/01/2014 07:47;L3295;C5921;both;10 - Sexta-feira;7;12
Brew've Been Served;10/01/2014 07:48;L3259;C9405;both;10 - Sexta-feira;7;13
Hallowed Grounds;10/01/2014 07:49;L6119;C7889;both;10 - Sexta-feira;7;10
Brew've Been Served;10/01/2014 07:49;L7291;C9683;credit;10 - Sexta-feira;7;90
Hallowed Grounds;10/01/2014 07:50;L6544;C7108;both;10 - Sexta-feira;7;11
Brew've Been Served;10/01/2014 07:51;L4034;C5407;credit;10 - Sexta-feira;7;13
Brew've Been Served;10/01/2014 07:54;L3800;C7384;credit;10 - Sexta-feira;7;83
Coffee Cameleon;10/01/2014 07:54;L9018;C2418;both;10 - Sexta-feira;7;10
Brew've Been Served;10/01/2014 07:55;L2247;C5368;credit;10 - Sexta-feira;7;86
Brew've Been Served;10/01/2014 07:56;L8566;C4795;credit;10 - Sexta-feira;7;97
Brew've Been Served;10/01/2014 07:56;L9254;C7354;credit;10 - Sexta-feira;7;91
Abila Airport;10/01/2014 07:59;L5924;C9614;credit;10 - Sexta-feira;7;4039
Brew've Been Served;10/01/2014 08:01;L3288;C1286;both;10 - Sexta-feira;8;6
Brew've Been Served;10/01/2014 08:01;L9363;C6901;both;10 - Sexta-feira;8;5
Hallowed Grounds;10/01/2014 08:06;L6267;C6899;both;10 - Sexta-feira;8;9
Brew've Been Served;10/01/2014 08:09;L1485;C3853;both;10 - Sexta-feira;8;14
Brew've Been Served;10/01/2014 08:09;L5259;C7819;both;10 - Sexta-feira;8;3
Coffee Cameleon;10/01/2014 08:11;L9637;C2142;credit;10 - Sexta-feira;8;13
Brew've Been Served;10/01/2014 08:17;L2343;C8202;credit;10 - Sexta-feira;8;8
Brew've Been Served;10/01/2014 08:17;L2169;C4434;both;10 - Sexta-feira;8;13
Brew've Been Served;10/01/2014 08:20;L6110;C8411;both;10 - Sexta-feira;8;14
Carlyle Chemical Inc.;10/01/2014 09:09;L5924;C9614;both;10 - Sexta-feira;9;228
Kronos Mart;10/01/2014 09:30;L4164;C7688;credit;10 - Sexta-feira;9;204
Nationwide Refinery;10/01/2014 10:00;L9633;C9735;both;10 - Sexta-feira;10;1553
Nationwide Refinery;10/01/2014 10:40;L5924;C9614;credit;10 - Sexta-feira;10;2303
Stewart and Sons Fabrication;10/01/2014 11:49;L9633;C9735;both;10 - Sexta-feira;11;4074
Bean There Done That;10/01/2014 12:00;L7783;C1415;both;10 - Sexta-feira;12;15
Bean There Done That;10/01/2014 12:00;L3191;C9635;both;10 - Sexta-feira;12;4
Brewed Awakenings;10/01/2014 12:00;L4164;C7688;both;10 - Sexta-feira;12;14
Jack's Magical Beans;10/01/2014 12:00;L6267;C6899;both;10 - Sexta-feira;12;16
Brewed Awakenings;10/01/2014 12:00;L5947;C2540;both;10 - Sexta-feira;12;6
Bean There Done That;10/01/2014 12:00;L3014;C1877;both;10 - Sexta-feira;12;13
Brewed Awakenings;10/01/2014 12:00;L2070;C8332;both;10 - Sexta-feira;12;14
Bean There Done That;10/01/2014 12:00;L4149;C1321;both;10 - Sexta-feira;12;19
Bean There Done That;10/01/2014 12:00;L3366;C6895;both;10 - Sexta-feira;12;9
Jack's Magical Beans;10/01/2014 12:00;L3288;C1286;both;10 - Sexta-feira;12;16
Jack's Magical Beans;10/01/2014 12:00;L5224;C8156;both;10 - Sexta-feira;12;5
Jack's Magical Beans;10/01/2014 12:00;L6886;C2463;credit;10 - Sexta-feira;12;8
Stewart and Sons Fabrication;10/01/2014 12:10;L5924;C9614;both;10 - Sexta-feira;12;4195
Chostus Hotel;10/01/2014 13:08;L7291;C9683;credit;10 - Sexta-feira;13;133
Chostus Hotel;10/01/2014 13:11;L5947;C2540;credit;10 - Sexta-feira;13;197
Guy's Gyros;10/01/2014 13:12;L5224;C8156;both;10 - Sexta-feira;13;36
Ouzeri Elian;10/01/2014 13:16;L5777;C9551;credit;10 - Sexta-feira;13;31
Hippokampos;10/01/2014 13:20;L8566;C4795;credit;10 - Sexta-feira;13;79
Guy's Gyros;10/01/2014 13:25;L8148;C6816;both;10 - Sexta-feira;13;27
Guy's Gyros;10/01/2014 13:27;L1682;C7253;both;10 - Sexta-feira;13;16
Abila Zacharo;10/01/2014 13:29;L6267;C6899;credit;10 - Sexta-feira;13;113
Katerina’s Café;10/01/2014 13:30;L4164;C7688;both;10 - Sexta-feira;13;35
Kalami Kafenion;10/01/2014 13:30;L2490;C3484;both;10 - Sexta-feira;13;36
Gelatogalore;10/01/2014 13:35;L7783;C1415;both;10 - Sexta-feira;13;26
Ouzeri Elian;10/01/2014 13:35;L1485;C3853;both;10 - Sexta-feira;13;35
Kalami Kafenion;10/01/2014 13:35;L3288;C1286;both;10 - Sexta-feira;13;102
Abila Zacharo;10/01/2014 13:36;L8012;C1310;both;10 - Sexta-feira;13;37
Katerina’s Café;10/01/2014 13:36;L9254;C7354;both;10 - Sexta-feira;13;25
Guy's Gyros;10/01/2014 13:38;L3800;C7384;both;10 - Sexta-feira;13;27
Katerina’s Café;10/01/2014 13:38;L9018;C2418;both;10 - Sexta-feira;13;21
Hippokampos;10/01/2014 13:40;L6886;C2463;both;10 - Sexta-feira;13;32
Guy's Gyros;10/01/2014 13:44;L6110;C8411;both;10 - Sexta-feira;13;38
Ouzeri Elian;10/01/2014 13:44;L3259;C9405;both;10 - Sexta-feira;13;20
Kalami Kafenion;10/01/2014 13:45;L4034;C5407;both;10 - Sexta-feira;13;27
Abila Zacharo;10/01/2014 13:46;L1107;C2681;both;10 - Sexta-feira;13;31
Guy's Gyros;10/01/2014 13:47;L3191;C9635;both;10 - Sexta-feira;13;32
Katerina’s Café;10/01/2014 13:47;L3366;C6895;both;10 - Sexta-feira;13;26
Katerina’s Café;10/01/2014 13:47;L9637;C2142;both;10 - Sexta-feira;13;24
Ouzeri Elian;10/01/2014 13:50;L3014;C1877;both;10 - Sexta-feira;13;15
Guy's Gyros;10/01/2014 13:52;L4149;C1321;both;10 - Sexta-feira;13;31
Kalami Kafenion;10/01/2014 13:53;L2169;C4434;both;10 - Sexta-feira;13;24
Guy's Gyros;10/01/2014 13:57;L8328;C8129;both;10 - Sexta-feira;13;16
Ouzeri Elian;10/01/2014 13:57;L2247;C5368;both;10 - Sexta-feira;13;25
Hippokampos;10/01/2014 13:58;L9363;C6901;both;10 - Sexta-feira;13;40
Abila Zacharo;10/01/2014 13:59;L4424;C1874;both;10 - Sexta-feira;13;8
Abila Zacharo;10/01/2014 14:01;L7814;C3492;both;10 - Sexta-feira;14;16
Abila Zacharo;10/01/2014 14:03;L5259;C7819;both;10 - Sexta-feira;14;36
Hippokampos;10/01/2014 14:07;L6417;C7117;credit;10 - Sexta-feira;14;12
Ouzeri Elian;10/01/2014 14:07;L5553;C9617;both;10 - Sexta-feira;14;31
Katerina’s Café;10/01/2014 14:08;L6544;C7108;credit;10 - Sexta-feira;14;78
Abila Zacharo;10/01/2014 14:09;L6267;C6899;both;10 - Sexta-feira;14;9
Gelatogalore;10/01/2014 14:11;L2343;C8202;both;10 - Sexta-feira;14;32
Hippokampos;10/01/2014 14:20;L9406;C4948;credit;10 - Sexta-feira;14;10
Octavio's Office Supplies;10/01/2014 14:41;L8566;C4795;both;10 - Sexta-feira;14;140
Octavio's Office Supplies;10/01/2014 16:07;L1682;C7253;both;10 - Sexta-feira;16;65
Ouzeri Elian;10/01/2014 18:52;L6267;C6899;both;10 - Sexta-feira;18;20
